# Run configuration
# Environment,unknown_env
# Render mode,unknown_render_mode
# Batch,128
# Gamma,0.99
# Eps_start,1.0
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-108.55092994803553,74,Terminated: Crash
1,-125.13699333983038,64,Terminated: Crash
2,-90.41135327028081,112,Terminated: Crash
3,-294.67040774268946,153,Terminated: Crash
4,-310.331320343593,123,Terminated: Out of view
5,-237.72371288479414,94,Terminated: Crash
6,-356.32445668475964,87,Terminated: Out of view
7,-145.75987119665467,106,Terminated: Crash
8,-103.1145203672086,131,Terminated: Crash
9,-33.13625355003535,136,Terminated: Crash
10,58.77435718153018,999,Truncated: Sleep
11,-28.291144056249635,195,Terminated: Crash
12,109.97216166538983,999,Truncated: Sleep
13,123.04863852014302,999,Truncated: Sleep
14,215.5435893256821,695,Terminated: Landed
15,-189.29179809744798,902,Terminated: Crash
16,-76.18498848380943,999,Truncated: Sleep
17,-157.05148263713076,999,Truncated: Sleep
18,-85.09890207744775,999,Truncated: Sleep
19,7.947796856012058,999,Truncated: Sleep
20,-17.505050304928336,999,Truncated: Sleep
21,248.92361160471864,607,Terminated: Landed
22,-4.237223345125912,105,Terminated: Crash
23,0.24007885714296312,999,Truncated: Sleep
24,-48.787761531648854,210,Terminated: Crash
25,174.2034728609663,556,Terminated: Crash
26,257.5129886006157,531,Terminated: Landed
27,-85.6499212869896,281,Terminated: Crash
28,241.0410108163294,496,Terminated: Landed
29,205.89093705646928,431,Terminated: Landed
30,225.9232965227932,614,Terminated: Landed
31,200.49681494759886,511,Terminated: Landed
32,108.48788115990747,999,Truncated: Sleep
33,-16.535942136864076,999,Truncated: Sleep
34,-13.75695149436984,999,Truncated: Sleep
35,143.40140869009286,977,Terminated: Crash
36,-21.972668199916377,999,Truncated: Sleep
37,-35.78858673897831,999,Truncated: Sleep
38,51.60380102481435,999,Truncated: Sleep
39,-24.99002867613997,999,Truncated: Sleep
40,29.465938147124447,999,Truncated: Sleep
41,-4.586006179854493,999,Truncated: Sleep
42,24.159806025883064,999,Truncated: Sleep
43,9.764221181324736,999,Truncated: Sleep
44,170.59829164289204,982,Terminated: Crash
45,-4.244839708763872,999,Truncated: Sleep
46,163.4431021874408,866,Terminated: Crash
47,10.634312096966301,999,Truncated: Sleep
48,51.41259157316507,999,Truncated: Sleep
49,185.6244055173054,655,Terminated: Crash
50,180.68307580308564,657,Terminated: Crash
51,159.32836114109176,781,Terminated: Crash
52,162.45475517919687,783,Terminated: Crash
53,260.4610689561116,412,Terminated: Landed
54,173.3646805569769,691,Terminated: Crash
55,209.46653376179114,634,Terminated: Landed
56,160.49222163897485,839,Terminated: Crash
57,231.27252287700333,496,Terminated: Landed
58,129.35962765148784,788,Terminated: Crash
59,-564.1248215395924,455,Terminated: Out of view
60,-239.07168856555097,175,Terminated: Crash
61,225.7327942252806,560,Terminated: Landed
62,206.2139062071085,745,Terminated: Landed
63,183.79113777042005,482,Terminated: Crash
64,210.99605136195765,861,Terminated: Landed
65,219.0546546952262,544,Terminated: Landed
66,192.21050231205396,509,Terminated: Crash
