# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,0.9
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-36.43205929149288,141,Terminated: Crash
1,-118.158891713526,70,Terminated: Crash
2,-361.4868497494184,94,Terminated: Out of view
3,-101.41460046300276,92,Terminated: Crash
4,-45.450112874929374,163,Terminated: Crash
5,-134.47872530932057,113,Terminated: Crash
6,-91.65502095057283,116,Terminated: Crash
7,-254.8520541777695,110,Terminated: Crash
8,-33.46829431889874,120,Terminated: Crash
9,-65.7308493288562,80,Terminated: Crash
10,-250.37718555370284,135,Terminated: Crash
11,-35.243395649896115,163,Terminated: Crash
12,-76.0318672058136,122,Terminated: Crash
13,-23.61203104815739,158,Terminated: Crash
14,-14.766014433790446,97,Terminated: Crash
15,64.08704840316817,999,Truncated: Sleep
16,-68.01849918817297,999,Truncated: Sleep
17,-168.84072786348756,999,Truncated: Sleep
18,-186.22477005252446,999,Truncated: Sleep
19,-84.05088256376291,999,Truncated: Sleep
20,-4.428748031749311,999,Truncated: Sleep
21,-3.3282879525613316,999,Truncated: Sleep
22,-29.958791798313097,999,Truncated: Sleep
23,-9.85088829586204,999,Truncated: Sleep
24,-42.70207267927219,242,Terminated: Crash
25,-22.30949217619662,999,Truncated: Sleep
26,-17.728756238341575,999,Truncated: Sleep
27,-33.93702462452832,999,Truncated: Sleep
28,-70.02276937113041,999,Truncated: Sleep
29,-231.31241538217927,93,Terminated: Crash
30,-44.63142257410501,999,Truncated: Sleep
31,-34.86181196982777,999,Truncated: Sleep
32,-31.340603301635397,999,Truncated: Sleep
33,-25.905991617783542,78,Terminated: Crash
34,-63.64774036837919,94,Terminated: Crash
35,231.76898831125877,401,Terminated: Landed
36,5.483993421905882,999,Truncated: Sleep
37,-1.8340916481527025,999,Truncated: Sleep
38,-176.91560317086652,618,Terminated: Crash
39,168.557183190861,922,Terminated: Crash
40,-22.125126349543766,999,Truncated: Sleep
41,-39.894729568088174,999,Truncated: Sleep
42,-18.22141676211887,999,Truncated: Sleep
43,-38.38252979558403,999,Truncated: Sleep
44,-54.65383773239306,999,Truncated: Sleep
45,-22.600636930123443,999,Truncated: Sleep
46,-38.93338542099069,999,Truncated: Sleep
47,7.670200093518724,999,Truncated: Sleep
48,-2.777045150863316,135,Terminated: Crash
49,-66.58147814521851,999,Truncated: Sleep
50,187.91852641191778,513,Terminated: Crash
51,-25.363082177662942,999,Truncated: Sleep
52,-32.60714481984455,125,Terminated: Crash
53,-21.537121479894324,999,Truncated: Sleep
54,-32.87187644263947,999,Truncated: Sleep
55,-21.764137254537367,999,Truncated: Sleep
56,-41.634293225463274,999,Truncated: Sleep
57,171.04821164045583,890,Terminated: Crash
58,-89.49451511568016,999,Truncated: Sleep
59,-67.24950297116479,999,Truncated: Sleep
60,9.746878371373132,999,Truncated: Sleep
61,-302.46869810864024,509,Terminated: Out of view
62,-28.338856918025694,999,Truncated: Sleep
63,-37.4035134759492,999,Truncated: Sleep
64,38.49269977639643,999,Truncated: Sleep
65,192.33187970004454,641,Terminated: Crash
66,160.43301971898214,826,Terminated: Crash
67,283.6662020983356,614,Terminated: Landed
68,-16.96685644153475,999,Truncated: Sleep
69,1.6388359999154112,999,Truncated: Sleep
70,-16.53165062498721,999,Truncated: Sleep
71,1.9189174758855934,999,Truncated: Sleep
72,21.98941349011739,999,Truncated: Sleep
73,-9.618179050594188,999,Truncated: Sleep
74,-15.040955082922322,999,Truncated: Sleep
75,-41.037892390528256,999,Truncated: Sleep
76,-38.849495109561616,999,Truncated: Sleep
77,214.20884186389895,668,Terminated: Landed
78,-36.36284618143928,999,Truncated: Sleep
79,17.068065322167737,999,Truncated: Sleep
80,-53.121510420981025,999,Truncated: Sleep
81,249.56630100507758,358,Terminated: Landed
82,228.31872580617966,239,Terminated: Landed
83,-12.847083408903266,999,Truncated: Sleep
84,-5.702262369912795,999,Truncated: Sleep
85,-62.10737489747873,817,Terminated: Crash
86,-51.648437155907665,999,Truncated: Sleep
87,165.31823646193686,938,Terminated: Crash
88,-41.33003468823334,999,Truncated: Sleep
89,201.71642129906974,537,Terminated: Landed
90,-26.941973789305905,999,Truncated: Sleep
91,-39.519771702427434,999,Truncated: Sleep
92,-28.33815995333881,999,Truncated: Sleep
93,2.2613961776288116,999,Truncated: Sleep
94,-60.84991537809152,999,Truncated: Sleep
95,-33.06719595473237,999,Truncated: Sleep
96,-0.3688930006606683,999,Truncated: Sleep
97,-39.98558575629151,999,Truncated: Sleep
98,-45.62561844170363,999,Truncated: Sleep
99,-24.86727796692983,999,Truncated: Sleep
100,-27.620855952407258,999,Truncated: Sleep
101,-24.27782948906236,999,Truncated: Sleep
102,-23.930581603605884,999,Truncated: Sleep
103,-18.565239278031484,999,Truncated: Sleep
104,-54.26745889299663,999,Truncated: Sleep
105,-29.4739384377554,999,Truncated: Sleep
106,-18.78095360666332,999,Truncated: Sleep
107,-11.138047031973288,999,Truncated: Sleep
108,-1.7243245285077076,999,Truncated: Sleep
109,-40.1330257522897,999,Truncated: Sleep
110,-2.0900567157526915,999,Truncated: Sleep
111,111.47015815663903,999,Truncated: Sleep
112,97.57193222212881,999,Truncated: Sleep
113,-14.452493064990207,999,Truncated: Sleep
114,21.238867321460354,999,Truncated: Sleep
115,-65.44112252747554,999,Truncated: Sleep
116,-24.28686115615875,999,Truncated: Sleep
117,14.741677137606827,999,Truncated: Sleep
118,-50.232331906480695,999,Truncated: Sleep
119,-12.658005151656731,999,Truncated: Sleep
120,-32.84469562564356,999,Truncated: Sleep
121,-60.33406340001869,999,Truncated: Sleep
122,4.846057631442614,999,Truncated: Sleep
123,-27.389383572335948,999,Truncated: Sleep
124,166.50341941641278,864,Terminated: Crash
125,-52.48967469618013,999,Truncated: Sleep
126,182.38206923028798,801,Terminated: Crash
127,-58.49844344445544,999,Truncated: Sleep
128,252.62633751707483,632,Terminated: Landed
129,-32.98590443063561,999,Truncated: Sleep
130,123.75060920946144,516,Terminated: Crash
131,202.32613073693975,469,Terminated: Landed
132,-56.451279665338596,188,Terminated: Crash
133,184.74246208302094,838,Terminated: Crash
134,205.32080802606674,631,Terminated: Landed
135,34.47834313660836,999,Truncated: Sleep
136,3.223686859442693,999,Truncated: Sleep
137,-71.65890276243886,999,Truncated: Sleep
138,-60.391050690194405,999,Truncated: Sleep
139,18.708837897619038,999,Truncated: Sleep
140,-48.88997561496315,999,Truncated: Sleep
141,129.67683459606897,945,Terminated: Crash
142,221.7680238349658,560,Terminated: Landed
143,-39.14560063253449,999,Truncated: Sleep
144,281.8168485715056,366,Terminated: Landed
145,-85.12803921285614,999,Truncated: Sleep
146,-93.4598116618825,999,Truncated: Sleep
147,226.07895967070957,703,Terminated: Landed
148,223.08545956457323,482,Terminated: Landed
149,236.8978717888112,582,Terminated: Landed
150,-56.758925928417355,999,Truncated: Sleep
151,142.25329601361926,836,Terminated: Crash
152,-42.86234517094274,999,Truncated: Sleep
153,242.98923764229187,546,Terminated: Landed
154,34.7438145091719,999,Truncated: Sleep
155,13.227525003756616,999,Truncated: Sleep
156,-23.381153405927336,999,Truncated: Sleep
157,67.86361967420687,999,Truncated: Sleep
158,181.2056072413381,419,Terminated: Crash
159,-14.57994520151136,999,Truncated: Sleep
160,230.46713764635533,363,Terminated: Landed
161,186.4502972772989,461,Terminated: Crash
162,248.15653950020993,301,Terminated: Landed
163,252.50007745315972,310,Terminated: Landed
164,232.31736278575494,354,Terminated: Landed
165,-25.551068783655225,321,Terminated: Crash
166,172.6866562237771,585,Terminated: Crash
167,-35.287590373106134,999,Truncated: Sleep
168,-103.31959445253804,192,Terminated: Crash
169,216.12875254974966,361,Terminated: Landed
170,249.67221911405045,408,Terminated: Landed
171,-79.75600009393268,999,Truncated: Sleep
172,210.00958001953794,504,Terminated: Landed
173,2.8174941671959717,999,Truncated: Sleep
174,-17.092792260665856,999,Truncated: Sleep
175,38.77064618960509,999,Truncated: Sleep
176,144.7463234608321,891,Terminated: Crash
177,158.85306126225873,807,Terminated: Crash
178,231.0870116848857,481,Terminated: Landed
179,-34.09457314990705,999,Truncated: Sleep
180,235.3382277823685,445,Terminated: Landed
181,245.93068228246733,403,Terminated: Landed
182,-4.3189655290518205,999,Truncated: Sleep
183,250.41821802668784,433,Terminated: Landed
184,267.05222017626056,345,Terminated: Landed
185,-43.072028689665345,999,Truncated: Sleep
186,-59.93375280739569,999,Truncated: Sleep
187,-15.390197948471412,999,Truncated: Sleep
188,-19.44214337699529,999,Truncated: Sleep
189,-68.79723797524886,999,Truncated: Sleep
190,-0.9266552136301462,999,Truncated: Sleep
