# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,0.9
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-120.99030110252494,76,Terminated: Crash
1,-342.1302176328977,99,Terminated: Out of view
2,-136.04663624418885,90,Terminated: Crash
3,-199.87071043158318,155,Terminated: Crash
4,-157.95697825979704,130,Terminated: Crash
5,-97.09477473993998,197,Terminated: Crash
6,-129.27708428785618,135,Terminated: Crash
7,-116.11281550034845,188,Terminated: Crash
8,-38.47777374009354,137,Terminated: Crash
9,-136.3853198402793,123,Terminated: Crash
10,-89.20318439864167,226,Terminated: Crash
11,-125.84605483189759,205,Terminated: Crash
12,-103.30686625704541,128,Terminated: Crash
13,-53.41155836621502,283,Terminated: Crash
14,-80.87656154460844,194,Terminated: Crash
15,-170.52857972003898,156,Terminated: Crash
16,-111.63969453054158,999,Truncated: Sleep
17,-0.09245977622877555,999,Truncated: Sleep
18,-125.9806352531686,999,Truncated: Sleep
19,-70.78879459737,999,Truncated: Sleep
20,-15.140993773328132,999,Truncated: Sleep
21,-59.04480880633938,999,Truncated: Sleep
22,-163.92731370538277,215,Terminated: Crash
23,-79.45419912716218,173,Terminated: Crash
24,-51.348738938459256,999,Truncated: Sleep
25,-38.043065357753015,999,Truncated: Sleep
26,-129.06156318967442,141,Terminated: Crash
27,-28.10952958634492,999,Truncated: Sleep
28,-68.06263041521538,999,Truncated: Sleep
29,-52.92867520453758,999,Truncated: Sleep
30,-13.59185816150849,999,Truncated: Sleep
31,6.34640356470093,999,Truncated: Sleep
32,5.707802692750951,999,Truncated: Sleep
33,-11.612503528646034,999,Truncated: Sleep
34,-1.1920293479884636,999,Truncated: Sleep
35,-84.6483265464897,999,Truncated: Sleep
36,-80.36778442222625,999,Truncated: Sleep
37,-47.05094761884104,999,Truncated: Sleep
38,-54.87547352439238,999,Truncated: Sleep
39,-106.53944123877811,999,Truncated: Sleep
40,-63.185320066290686,999,Truncated: Sleep
41,17.132270474769626,999,Truncated: Sleep
42,-10.851588972599838,999,Truncated: Sleep
43,-5.311110486427762,999,Truncated: Sleep
44,-55.25014018201266,999,Truncated: Sleep
45,-7.897814684331846,999,Truncated: Sleep
46,-2.713656027755312,999,Truncated: Sleep
47,-60.9104110118332,999,Truncated: Sleep
48,-13.665588872389087,999,Truncated: Sleep
49,5.035570974774647,999,Truncated: Sleep
50,17.00690416403342,999,Truncated: Sleep
51,28.622899804655578,999,Truncated: Sleep
52,-5.509851667456536,999,Truncated: Sleep
53,-43.38726888358064,999,Truncated: Sleep
54,-6.799887526731867,999,Truncated: Sleep
55,-49.18868205924097,999,Truncated: Sleep
56,-39.92609286834397,999,Truncated: Sleep
57,-76.36525251655124,999,Truncated: Sleep
58,9.609764185381394,999,Truncated: Sleep
59,-13.526743608330786,999,Truncated: Sleep
60,-10.675674387221255,999,Truncated: Sleep
61,-43.43008002364513,999,Truncated: Sleep
62,1.8306581990806228,999,Truncated: Sleep
63,-27.5655339184913,999,Truncated: Sleep
64,-32.246972233692304,999,Truncated: Sleep
65,-20.320587574819204,999,Truncated: Sleep
66,-27.87566049945227,999,Truncated: Sleep
67,-5.9699707371576025,999,Truncated: Sleep
68,-50.87671237742759,999,Truncated: Sleep
69,-34.835470495596155,999,Truncated: Sleep
70,-61.263359233413944,999,Truncated: Sleep
71,-30.415993516775202,999,Truncated: Sleep
72,-47.20468048993992,999,Truncated: Sleep
73,-13.062239413248609,999,Truncated: Sleep
74,-11.507601003175527,999,Truncated: Sleep
75,14.299712219395591,999,Truncated: Sleep
76,-52.49748383991014,999,Truncated: Sleep
77,-51.636965330365086,999,Truncated: Sleep
78,11.03832593328805,999,Truncated: Sleep
79,11.19871784362424,999,Truncated: Sleep
80,-18.213156286526687,999,Truncated: Sleep
81,-24.989356597873805,999,Truncated: Sleep
82,-32.0643599534045,999,Truncated: Sleep
83,-29.120526930492954,999,Truncated: Sleep
84,-13.639477732729228,999,Truncated: Sleep
85,-35.83017890625733,999,Truncated: Sleep
86,21.627195151670985,999,Truncated: Sleep
87,-48.932505062286566,999,Truncated: Sleep
88,-36.022163838994445,999,Truncated: Sleep
89,-14.64414878704505,999,Truncated: Sleep
90,-6.703807207303495,999,Truncated: Sleep
91,-28.678836713171282,999,Truncated: Sleep
92,-57.02296251979897,999,Truncated: Sleep
93,-25.93575150936919,999,Truncated: Sleep
94,17.215663545361735,999,Truncated: Sleep
95,-128.21173248806036,425,Terminated: Crash
96,-4.831060669681325,999,Truncated: Sleep
97,-33.833195793740096,999,Truncated: Sleep
98,-61.29552515423361,999,Truncated: Sleep
99,-58.23139895999075,999,Truncated: Sleep
