# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,0.9
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-84.4246471346601,69,Terminated: Crash
1,-144.35423102420322,84,Terminated: Crash
2,-261.245513959508,163,Terminated: Crash
3,-74.96669487505447,115,Terminated: Crash
4,-43.962498176770396,74,Terminated: Crash
5,-157.9504595642712,89,Terminated: Crash
6,-239.66026588510329,91,Terminated: Crash
7,-162.11877349594437,70,Terminated: Crash
8,-103.11196422595359,179,Terminated: Crash
9,-94.51241267713891,104,Terminated: Crash
10,-36.98320939467621,122,Terminated: Crash
11,-163.96673835066764,129,Terminated: Crash
12,-79.65084024492134,205,Terminated: Crash
13,-83.67581617888968,135,Terminated: Crash
14,-74.44112819307006,389,Terminated: Crash
15,-35.308826934527445,258,Terminated: Crash
16,-33.61186431400387,179,Terminated: Crash
17,-0.958206042699473,264,Terminated: Crash
18,-24.003444390118744,215,Terminated: Crash
19,-79.21659745989106,999,Truncated: Sleep
20,-35.35906128315862,999,Truncated: Sleep
21,-134.6601765647012,711,Terminated: Crash
22,160.4368809967151,666,Terminated: Crash
23,-4.174105874768813,381,Terminated: Crash
24,-111.41764150526146,999,Truncated: Sleep
25,-174.54231353984454,556,Terminated: Crash
26,-196.9795468437868,719,Terminated: Crash
27,-56.36975758636743,999,Truncated: Sleep
28,-65.10998757188631,999,Truncated: Sleep
29,-56.564780018262425,999,Truncated: Sleep
30,-27.585169522534507,999,Truncated: Sleep
31,-32.34768044428278,999,Truncated: Sleep
32,225.83261642950848,389,Terminated: Landed
33,41.95544584587137,999,Truncated: Sleep
34,-6.985344959525515,999,Truncated: Sleep
35,-28.290427397584434,999,Truncated: Sleep
36,151.21692297626726,657,Terminated: Crash
37,165.0260410825769,751,Terminated: Crash
38,11.916638951649043,999,Truncated: Sleep
39,246.33888873878985,496,Terminated: Landed
40,-36.77534776403107,999,Truncated: Sleep
41,0.8250432304517299,999,Truncated: Sleep
42,7.222473995268854,999,Truncated: Sleep
43,31.670955492774652,999,Truncated: Sleep
44,-56.15561370736282,999,Truncated: Sleep
45,-5.78954130267387,999,Truncated: Sleep
46,-18.222966983860054,999,Truncated: Sleep
47,15.540485531022561,999,Truncated: Sleep
48,-3.8744035007847692,999,Truncated: Sleep
49,-51.55111752524604,999,Truncated: Sleep
50,-0.09042419320440664,999,Truncated: Sleep
51,5.452684663607347,999,Truncated: Sleep
52,-7.487014797433727,999,Truncated: Sleep
53,3.5710956968817023,999,Truncated: Sleep
54,-4.120101234488336,999,Truncated: Sleep
55,169.1987246263182,710,Terminated: Crash
56,13.981165800559916,999,Truncated: Sleep
57,-7.690785297117654,999,Truncated: Sleep
58,200.1292194797998,827,Terminated: Landed
59,-20.189940876493946,999,Truncated: Sleep
60,-7.177071431515096,999,Truncated: Sleep
61,-3.2542886490446867,999,Truncated: Sleep
62,-48.9500685866292,999,Truncated: Sleep
63,-17.111304600644754,999,Truncated: Sleep
64,-26.837160128365095,999,Truncated: Sleep
65,1.0283459036905895,999,Truncated: Sleep
66,26.98674250865311,999,Truncated: Sleep
67,17.841903099403964,999,Truncated: Sleep
68,-25.115335165506195,999,Truncated: Sleep
69,21.549199549890268,999,Truncated: Sleep
70,-4.708050653995183,999,Truncated: Sleep
71,2.792267210473205,999,Truncated: Sleep
72,0.9969690808019822,999,Truncated: Sleep
73,18.715234803896283,999,Truncated: Sleep
74,1.8874596991916126,999,Truncated: Sleep
75,20.19579530674338,999,Truncated: Sleep
76,-9.227565374077251,999,Truncated: Sleep
77,-28.848519931161952,999,Truncated: Sleep
78,145.37652663239243,947,Terminated: Crash
79,12.414164293891897,999,Truncated: Sleep
80,-7.813873037150925,999,Truncated: Sleep
81,19.93856904046352,999,Truncated: Sleep
82,20.38509351595392,999,Truncated: Sleep
83,33.840685171599944,999,Truncated: Sleep
84,18.558839995725375,999,Truncated: Sleep
85,40.022959853132654,999,Truncated: Sleep
86,-46.45593352607274,999,Truncated: Sleep
87,-20.083544466583728,999,Truncated: Sleep
88,194.4625444625021,685,Terminated: Crash
89,233.30862164524297,443,Terminated: Landed
90,253.8358917137969,429,Terminated: Landed
91,230.08130314077872,411,Terminated: Landed
92,224.5025659016289,593,Terminated: Landed
93,162.6320010817658,846,Terminated: Crash
94,184.42942827656697,879,Terminated: Crash
95,198.8799105683068,689,Terminated: Crash
96,282.50345472882094,377,Terminated: Landed
97,174.19340423187032,691,Terminated: Crash
98,186.91852270045615,686,Terminated: Crash
99,265.05888193377814,387,Terminated: Landed
100,36.885387505897995,999,Truncated: Sleep
101,159.5091660707558,893,Terminated: Crash
102,287.10822891885334,388,Terminated: Landed
103,290.0278942074101,327,Terminated: Landed
104,-4.670369781126855,999,Truncated: Sleep
105,10.699418346198398,999,Truncated: Sleep
106,-52.779620261513024,999,Truncated: Sleep
107,235.90807105791518,335,Terminated: Landed
108,29.737252694228577,999,Truncated: Sleep
109,-6.915157713761634,999,Truncated: Sleep
110,9.462379634404018,999,Truncated: Sleep
111,-2.7589744084414605,999,Truncated: Sleep
112,188.749929552943,884,Terminated: Crash
113,177.8964842084693,919,Terminated: Crash
114,202.14498650737121,812,Terminated: Landed
115,210.40210835683772,767,Terminated: Landed
116,199.45618279900714,731,Terminated: Crash
117,222.1294179915402,600,Terminated: Landed
118,181.1861236635532,783,Terminated: Crash
119,237.57659157407394,463,Terminated: Landed
120,197.4719551924245,556,Terminated: Crash
121,185.78543164349554,603,Terminated: Crash
122,206.58146568108765,692,Terminated: Landed
123,258.03753981557094,429,Terminated: Landed
124,235.68162118675846,577,Terminated: Landed
125,254.73426959095698,420,Terminated: Landed
126,258.3938818358311,474,Terminated: Landed
127,229.77053747951814,407,Terminated: Landed
128,273.9285863002117,261,Terminated: Landed
129,260.1579008831512,417,Terminated: Landed
130,263.4956798565187,425,Terminated: Landed
131,248.46013890379302,358,Terminated: Landed
132,261.34013320250114,395,Terminated: Landed
133,259.47401857930373,331,Terminated: Landed
134,245.81148177061468,319,Terminated: Landed
135,254.430909401546,344,Terminated: Landed
136,252.19160296842125,412,Terminated: Landed
137,263.37751668501755,371,Terminated: Landed
138,258.2898461731302,488,Terminated: Landed
139,244.17559588168933,379,Terminated: Landed
140,222.98013402068824,374,Terminated: Landed
141,232.8091510340488,365,Terminated: Landed
142,231.26908874768907,339,Terminated: Landed
143,255.06213246009142,391,Terminated: Landed
144,280.00356283418,355,Terminated: Landed
145,256.8849239689853,322,Terminated: Landed
146,289.5762877666215,290,Terminated: Landed
147,256.24947315268673,277,Terminated: Landed
148,254.1892302233311,289,Terminated: Landed
149,251.53165947104534,343,Terminated: Landed
150,285.6006257857431,352,Terminated: Landed
151,280.1120414036449,247,Terminated: Landed
152,246.01134032550826,363,Terminated: Landed
153,233.35326728535517,468,Terminated: Landed
154,273.4355775317593,373,Terminated: Landed
155,250.5126430944963,400,Terminated: Landed
156,239.43668875556807,700,Terminated: Landed
157,205.79441857662076,414,Terminated: Landed
158,239.3183142641666,289,Terminated: Landed
159,285.2430871273567,255,Terminated: Landed
160,212.01408037640346,339,Terminated: Landed
161,267.00743273049306,328,Terminated: Landed
162,251.60497852625974,393,Terminated: Landed
163,232.13959600845953,352,Terminated: Landed
164,253.69234750917732,380,Terminated: Landed
165,236.069199397933,544,Terminated: Landed
166,258.14517524902146,259,Terminated: Landed
167,259.6644428175556,731,Terminated: Landed
168,280.69212140500304,282,Terminated: Landed
169,250.7793823590663,322,Terminated: Landed
170,258.4031472400569,340,Terminated: Landed
171,244.2563794650436,303,Terminated: Landed
172,249.9809004892138,372,Terminated: Landed
173,243.6280172167686,249,Terminated: Landed
174,280.72552632619585,322,Terminated: Landed
175,239.73321603260501,326,Terminated: Landed
176,273.61028326259157,250,Terminated: Landed
177,283.8224785118775,597,Terminated: Landed
178,248.34048025951301,335,Terminated: Landed
179,268.36733194880253,275,Terminated: Landed
180,242.04983274592692,290,Terminated: Landed
181,220.12323781375338,591,Terminated: Landed
182,250.14480986644054,277,Terminated: Landed
183,286.7048596885838,234,Terminated: Landed
184,250.08037599301673,265,Terminated: Landed
185,269.1291535215805,413,Terminated: Landed
186,273.27026013531497,473,Terminated: Landed
187,287.4306159608388,266,Terminated: Landed
188,238.40328879189917,380,Terminated: Landed
189,305.693687278838,270,Terminated: Landed
190,247.5084639952512,268,Terminated: Landed
191,250.2043915924107,424,Terminated: Landed
192,224.10354218956914,311,Terminated: Landed
193,270.1688958661993,326,Terminated: Landed
194,223.8910016686869,316,Terminated: Landed
195,257.1099379264614,296,Terminated: Landed
196,275.1171434457816,309,Terminated: Landed
197,259.4457993770899,282,Terminated: Landed
198,261.81021080295704,320,Terminated: Landed
199,253.93157309193913,367,Terminated: Landed
200,290.96783764937925,237,Terminated: Landed
201,220.3197075330051,303,Terminated: Landed
202,214.68985347957795,307,Terminated: Landed
203,236.5311939037607,313,Terminated: Landed
204,203.3570099451235,278,Terminated: Landed
205,228.6217229715268,764,Terminated: Landed
206,180.41898799219808,318,Terminated: Crash
207,-14.912031886640177,999,Truncated: Sleep
208,265.7637130037817,323,Terminated: Landed
209,-64.30731092137523,999,Truncated: Sleep
210,-84.35130057086242,999,Truncated: Sleep
211,238.4410488174373,361,Terminated: Landed
212,157.4226520991035,999,Truncated: Sleep
213,244.02967997071116,539,Terminated: Landed
214,294.10721026005217,274,Terminated: Landed
215,246.19884686539547,349,Terminated: Landed
216,250.82647512104526,339,Terminated: Landed
217,115.42209131299076,999,Truncated: Sleep
218,158.35234843418635,493,Terminated: Crash
219,296.8452636798612,250,Terminated: Landed
220,245.46787102612765,311,Terminated: Landed
221,203.40494516268146,312,Terminated: Landed
222,241.9220371554397,256,Terminated: Landed
223,144.79515674581774,999,Truncated: Sleep
224,251.3668250688448,383,Terminated: Landed
225,304.1027047014634,295,Terminated: Landed
226,80.23192150390366,999,Truncated: Sleep
227,247.8284220998696,365,Terminated: Landed
228,101.56209995395817,999,Truncated: Sleep
229,294.32048643108936,258,Terminated: Landed
230,250.31889373657637,275,Terminated: Landed
231,274.2195344102686,282,Terminated: Landed
232,-23.023218056204882,304,Terminated: Crash
233,210.1821938168564,359,Terminated: Landed
234,225.23911264258584,450,Terminated: Landed
235,244.6049350507753,440,Terminated: Landed
236,292.03955876199245,280,Terminated: Landed
237,245.35303734601925,273,Terminated: Landed
238,209.6786785699095,533,Terminated: Landed
239,214.9249410441053,456,Terminated: Landed
240,213.0629572918408,586,Terminated: Landed
241,176.00968115649653,604,Terminated: Crash
242,242.74768159377334,319,Terminated: Landed
243,240.22555651224243,548,Terminated: Landed
244,202.66483924296512,650,Terminated: Landed
245,221.31947338282941,490,Terminated: Landed
246,206.08609968030626,432,Terminated: Landed
247,222.12482664411772,349,Terminated: Landed
248,234.6468366745104,361,Terminated: Landed
249,234.57981358757976,352,Terminated: Landed
250,230.91194203013978,291,Terminated: Landed
251,196.94607822825486,617,Terminated: Crash
252,239.10150460568119,397,Terminated: Landed
253,122.32231309001848,999,Truncated: Sleep
254,240.04948417210412,481,Terminated: Landed
255,288.88304734466544,328,Terminated: Landed
256,249.40010313077593,336,Terminated: Landed
257,217.73273275764006,470,Terminated: Landed
258,212.95365806037927,356,Terminated: Landed
259,242.00216958011103,364,Terminated: Landed
260,196.95728282038618,487,Terminated: Crash
261,210.89751405551823,493,Terminated: Landed
262,215.74669079370386,410,Terminated: Landed
263,228.87553443938293,337,Terminated: Landed
264,225.17038646907716,362,Terminated: Landed
265,212.31060599945073,324,Terminated: Landed
266,276.99237774323933,383,Terminated: Landed
267,247.0662537894592,419,Terminated: Landed
268,272.0434829370481,328,Terminated: Landed
269,254.4597670901596,342,Terminated: Landed
270,245.62808760237982,261,Terminated: Landed
271,259.138114683557,340,Terminated: Landed
272,224.47723997551452,300,Terminated: Landed
273,242.34898468748705,313,Terminated: Landed
274,211.55540544201716,721,Terminated: Landed
275,221.22421240550557,439,Terminated: Landed
276,142.41270563485978,999,Truncated: Sleep
277,228.33599246813023,298,Terminated: Landed
278,239.4526865292724,346,Terminated: Landed
279,217.18910820584108,602,Terminated: Landed
280,264.2462825239039,263,Terminated: Landed
281,147.8445279022929,999,Truncated: Sleep
282,111.54947661769639,999,Truncated: Sleep
283,241.17502197379406,910,Terminated: Landed
284,245.20972067354398,292,Terminated: Landed
285,238.3682365407201,423,Terminated: Landed
286,55.5046481347038,999,Truncated: Sleep
287,258.59464018670064,268,Terminated: Landed
288,192.85519948489005,767,Terminated: Crash
289,234.38475584279695,341,Terminated: Landed
290,232.82932226260175,413,Terminated: Landed
291,226.1111071068522,372,Terminated: Landed
292,198.48400568779817,373,Terminated: Crash
293,132.56753640811766,999,Truncated: Sleep
294,67.78203422539531,999,Truncated: Sleep
295,207.14175069238155,360,Terminated: Landed
296,252.127085179771,293,Terminated: Landed
297,108.52596693357407,999,Truncated: Sleep
298,176.3398945395141,562,Terminated: Crash
299,50.07633421242248,999,Truncated: Sleep
300,245.78889107985088,355,Terminated: Landed
301,227.58090032438653,289,Terminated: Landed
302,234.83786290683136,619,Terminated: Landed
303,16.398156389595304,999,Truncated: Sleep
304,216.65231885716585,482,Terminated: Landed
305,5.362528933750054,999,Truncated: Sleep
306,291.9083627464637,291,Terminated: Landed
307,175.07684994575214,999,Truncated: Sleep
308,221.09580947254702,291,Terminated: Landed
309,54.26193255633572,999,Truncated: Sleep
310,203.73896786073703,890,Terminated: Landed
311,9.12251668327481,325,Terminated: Crash
312,195.44561077654305,431,Terminated: Crash
313,222.1856134041127,457,Terminated: Landed
314,9.581969563739223,999,Truncated: Sleep
315,244.86776728198979,320,Terminated: Landed
316,255.24053332555386,326,Terminated: Landed
317,190.12615477682192,435,Terminated: Crash
318,238.31842214588107,362,Terminated: Landed
319,191.16663541214302,733,Terminated: Crash
320,115.8600675664331,999,Truncated: Sleep
321,233.25606681816254,416,Terminated: Landed
322,216.25466799185602,462,Terminated: Landed
323,274.4374958960584,361,Terminated: Landed
324,210.5990575249478,464,Terminated: Landed
325,245.96205897045476,357,Terminated: Landed
326,248.61964974155185,366,Terminated: Landed
327,246.79598801107025,334,Terminated: Landed
328,236.47212040648466,354,Terminated: Landed
329,64.7103881774599,999,Truncated: Sleep
330,11.02043186567792,329,Terminated: Crash
