# Run configuration
# Environment,LunarLander-v3
# Render mode,rgb_array
# Batch,128
# Gamma,0.99
# Eps_start,0.9
# Eps_end,0.01
# Eps_decay,2500
# Tau,0.005
# Lr,0.0003

Episode,Reward,Episode_length,Status
0,-117.17908001239499,101,Terminated: Crash
1,-222.7801101425846,81,Terminated: Crash
2,-323.1116253673023,128,Terminated: Out of view
3,-164.20583319196334,122,Terminated: Crash
4,-156.37351372104513,88,Terminated: Crash
5,-248.9683150851685,123,Terminated: Crash
6,-136.16389309824325,140,Terminated: Crash
7,-217.07429246481956,115,Terminated: Crash
8,-94.58868593827742,147,Terminated: Crash
9,-72.32027504233392,157,Terminated: Crash
10,-18.255687974035226,98,Terminated: Crash
11,11.272258201371443,187,Terminated: Crash
12,-81.63330364517424,119,Terminated: Crash
13,-103.55865925708656,487,Terminated: Crash
14,-17.094752845186534,198,Terminated: Crash
15,-1.0484285800262967,334,Terminated: Crash
16,-150.07790632913728,577,Terminated: Crash
17,-84.11030292220791,999,Truncated: Sleep
18,-130.0678942652393,999,Truncated: Sleep
19,-447.46723004283115,857,Terminated: Out of view
20,222.58173862825095,534,Terminated: Landed
21,-279.4058072419393,870,Terminated: Crash
22,-115.21107284607021,259,Terminated: Crash
23,-134.74752857759344,455,Terminated: Crash
24,-43.88137387826393,999,Truncated: Sleep
25,138.42763316349183,837,Terminated: Crash
26,-147.10798249013985,892,Terminated: Crash
27,165.96933879673878,527,Terminated: Crash
28,20.186242612430053,999,Truncated: Sleep
29,-54.33515822030874,999,Truncated: Sleep
30,-124.05152574469487,999,Truncated: Sleep
31,-33.076454263056405,999,Truncated: Sleep
32,-26.509223831601183,999,Truncated: Sleep
33,-32.78919075322861,999,Truncated: Sleep
34,-27.9944810943413,999,Truncated: Sleep
35,-32.6953515620172,999,Truncated: Sleep
36,-41.02489923974546,999,Truncated: Sleep
37,-26.944440282212316,999,Truncated: Sleep
38,-75.85319604635522,999,Truncated: Sleep
39,-42.71165709696706,999,Truncated: Sleep
40,-62.54276012523414,999,Truncated: Sleep
41,-33.30963273143183,999,Truncated: Sleep
42,-1.828084297292776,999,Truncated: Sleep
43,-15.508828628556174,999,Truncated: Sleep
44,-19.20455579337326,999,Truncated: Sleep
45,20.347951142671512,999,Truncated: Sleep
46,-8.657388963380967,999,Truncated: Sleep
47,4.446612937719022,999,Truncated: Sleep
48,5.8423293289562555,999,Truncated: Sleep
49,-34.1987327064518,999,Truncated: Sleep
50,242.15508639842997,204,Terminated: Landed
51,-16.166984560008192,999,Truncated: Sleep
52,0.5507005594470658,999,Truncated: Sleep
53,-58.438069248134205,999,Truncated: Sleep
54,-27.61313515130592,999,Truncated: Sleep
55,-17.566939408907132,999,Truncated: Sleep
56,-33.90345873733957,999,Truncated: Sleep
57,-31.999356007710624,999,Truncated: Sleep
58,-38.23624877708518,999,Truncated: Sleep
59,-2.171982700114492,999,Truncated: Sleep
60,-10.984520891454864,260,Terminated: Crash
61,-44.03076562543667,999,Truncated: Sleep
62,-24.77610813003455,999,Truncated: Sleep
63,-41.948292378805,999,Truncated: Sleep
64,-20.447697398809073,999,Truncated: Sleep
65,-25.564079607494712,999,Truncated: Sleep
66,-14.801963110459837,126,Terminated: Crash
67,-84.52797818349487,999,Truncated: Sleep
68,-48.22592026824793,999,Truncated: Sleep
69,0.3582993180970675,205,Terminated: Crash
70,-11.203512192958769,999,Truncated: Sleep
71,166.55268980266476,944,Terminated: Crash
72,41.35125495045414,999,Truncated: Sleep
73,-14.979103011175537,999,Truncated: Sleep
74,255.07523874731237,463,Terminated: Landed
75,-2.369988996245036,999,Truncated: Sleep
76,207.2116855015957,601,Terminated: Landed
77,-23.237034931815387,999,Truncated: Sleep
78,-20.311149579993007,999,Truncated: Sleep
79,171.07120487881286,801,Terminated: Crash
80,25.060402710009612,999,Truncated: Sleep
81,-9.440700859951647,999,Truncated: Sleep
82,-10.731572149310772,999,Truncated: Sleep
83,188.6148652677972,647,Terminated: Crash
84,7.131984172874938,999,Truncated: Sleep
85,-50.99735738967788,999,Truncated: Sleep
86,-4.465927367733726,999,Truncated: Sleep
87,2.6681965110078383,999,Truncated: Sleep
88,-31.538747431832526,999,Truncated: Sleep
89,24.255498206349284,999,Truncated: Sleep
90,-15.356552806611901,999,Truncated: Sleep
91,38.7594873286303,999,Truncated: Sleep
92,6.333412522653903,999,Truncated: Sleep
93,-20.042565590360937,999,Truncated: Sleep
94,33.544236671742205,999,Truncated: Sleep
95,26.948693832185334,999,Truncated: Sleep
96,-10.306824306035056,999,Truncated: Sleep
97,-1.405226519742826,999,Truncated: Sleep
98,25.521150056028663,999,Truncated: Sleep
99,6.52701685793622,999,Truncated: Sleep
100,32.64271729473657,999,Truncated: Sleep
101,-10.733717012092196,999,Truncated: Sleep
102,-4.997289468476744,999,Truncated: Sleep
103,-17.489661024358767,999,Truncated: Sleep
104,-7.319667738457384,999,Truncated: Sleep
105,207.2643973903018,738,Terminated: Landed
106,200.07957041589728,420,Terminated: Landed
107,179.01054989505553,520,Terminated: Crash
108,264.68005416807296,378,Terminated: Landed
109,28.056888718983743,229,Terminated: Crash
110,214.93144964047247,430,Terminated: Landed
111,211.54970420500916,587,Terminated: Landed
112,275.9844925211844,349,Terminated: Landed
113,254.8716344878527,395,Terminated: Landed
114,144.77517543138086,883,Terminated: Crash
115,175.66558608379552,642,Terminated: Crash
116,269.2064031095249,442,Terminated: Landed
117,230.36886152065568,398,Terminated: Landed
118,172.1364168422989,783,Terminated: Crash
119,206.85191620559934,368,Terminated: Landed
120,-21.977515739595106,373,Terminated: Crash
121,186.86706650263105,688,Terminated: Crash
122,276.44602551158954,437,Terminated: Landed
123,235.9206659695724,396,Terminated: Landed
124,210.98047338413232,491,Terminated: Landed
125,154.68976508399788,694,Terminated: Crash
126,-517.1053880780112,122,Terminated: Out of view
127,283.0948954792714,327,Terminated: Landed
128,269.10494826451816,352,Terminated: Landed
129,155.67135263002217,914,Terminated: Crash
130,20.410322474803916,999,Truncated: Sleep
131,284.8145010334198,293,Terminated: Landed
132,9.199907932842429,999,Truncated: Sleep
133,180.34003365166424,775,Terminated: Crash
134,3.5547318229935625,999,Truncated: Sleep
135,284.51153200759916,316,Terminated: Landed
136,-37.64436214917427,999,Truncated: Sleep
137,255.94330692704887,322,Terminated: Landed
138,-2.7418907460589796,999,Truncated: Sleep
139,-29.946511070583895,999,Truncated: Sleep
140,-5.144565269581157,999,Truncated: Sleep
141,0.8763718828586435,999,Truncated: Sleep
142,275.5457838829437,414,Terminated: Landed
143,261.0878558478747,359,Terminated: Landed
144,265.5332347384925,262,Terminated: Landed
145,-29.04435272405477,999,Truncated: Sleep
146,252.59630674956276,233,Terminated: Landed
147,-47.8622279195446,999,Truncated: Sleep
148,239.00736332539202,227,Terminated: Landed
149,264.4425624620318,244,Terminated: Landed
150,-18.155561772326777,999,Truncated: Sleep
151,234.79425273789448,204,Terminated: Landed
152,13.800815700834761,999,Truncated: Sleep
153,288.1931173707749,272,Terminated: Landed
154,258.3095099224589,215,Terminated: Landed
155,272.55354361093777,298,Terminated: Landed
156,257.94126628722734,599,Terminated: Landed
157,29.25973180466354,999,Truncated: Sleep
158,215.47418505999602,498,Terminated: Landed
159,-3.42553599771038,999,Truncated: Sleep
160,162.5069326230244,926,Terminated: Crash
161,207.66466278640848,467,Terminated: Landed
162,240.1025153877177,242,Terminated: Landed
163,247.2677636499951,506,Terminated: Landed
164,14.81803382007648,999,Truncated: Sleep
165,246.7800003339352,237,Terminated: Landed
166,20.110536745188618,999,Truncated: Sleep
167,261.50820693150393,482,Terminated: Landed
168,235.719738688322,564,Terminated: Landed
169,198.40339471978376,642,Terminated: Crash
170,262.71256262038145,303,Terminated: Landed
171,273.6306865594816,235,Terminated: Landed
172,310.8820075983531,240,Terminated: Landed
173,272.75427656898285,347,Terminated: Landed
174,15.908593060399227,99,Terminated: Crash
175,260.3226789298709,219,Terminated: Landed
176,22.015286820295714,158,Terminated: Crash
177,274.62094682738564,249,Terminated: Landed
178,280.4355859822218,288,Terminated: Landed
179,58.62116571219005,191,Terminated: Crash
180,286.7253496317963,240,Terminated: Landed
181,245.03275277210616,198,Terminated: Landed
182,49.67359181743038,258,Terminated: Crash
183,232.4910277990181,238,Terminated: Landed
184,280.7878168351059,298,Terminated: Landed
185,272.1198490495055,291,Terminated: Landed
186,286.98826406670065,226,Terminated: Landed
187,269.9768321328364,267,Terminated: Landed
188,285.099237258186,276,Terminated: Landed
189,283.0867459901958,359,Terminated: Landed
190,150.87204721776106,999,Truncated: Sleep
191,66.86886318718263,178,Terminated: Crash
192,232.14134630337512,428,Terminated: Landed
193,280.5699088147709,260,Terminated: Landed
194,247.79536676637807,315,Terminated: Landed
195,237.48201433942123,224,Terminated: Landed
196,260.95247726459206,210,Terminated: Landed
197,248.90887389297674,239,Terminated: Landed
198,258.8248917979946,219,Terminated: Landed
199,240.3524587266657,272,Terminated: Landed
200,256.6476375876722,454,Terminated: Landed
201,243.58521673023154,299,Terminated: Landed
202,271.33411080579435,306,Terminated: Landed
203,264.93100018100745,222,Terminated: Landed
204,263.2998695986346,229,Terminated: Landed
205,254.65389733539382,382,Terminated: Landed
206,214.62588368309537,510,Terminated: Landed
207,-13.352579048700704,180,Terminated: Crash
208,184.80476163087855,640,Terminated: Crash
209,241.8123293522792,230,Terminated: Landed
210,29.520902842545553,194,Terminated: Crash
211,264.5663471894669,195,Terminated: Landed
212,246.67959832052745,744,Terminated: Landed
213,184.31308593234644,561,Terminated: Crash
214,218.5654666770679,523,Terminated: Landed
215,232.6255220388587,235,Terminated: Landed
216,265.8339446328548,204,Terminated: Landed
217,257.07554021780373,217,Terminated: Landed
218,210.1852122691559,315,Terminated: Landed
219,242.83063209542345,328,Terminated: Landed
220,241.8353358191472,397,Terminated: Landed
221,26.003477439677923,150,Terminated: Crash
222,-34.43957625856319,183,Terminated: Crash
223,222.30195429601082,448,Terminated: Landed
224,260.3998606748385,207,Terminated: Landed
225,61.28943497857506,178,Terminated: Crash
226,303.91022184568516,284,Terminated: Landed
227,296.0783908442756,273,Terminated: Landed
228,258.5976124051982,213,Terminated: Landed
229,285.15606403712457,274,Terminated: Landed
230,251.59602953271454,178,Terminated: Landed
231,219.02917374724296,338,Terminated: Landed
